iPhone 5S:123528
iPhone 5:84927
iPhone 4:80100
iPhone 4S:64237
iPhone 6 (A1586):49625
iPhone 6 Plus (A1524):41395
MI 2:33714
Redmi 1S:27878
GT-N7100(Galaxy Note 2):24812
AHS3-W:20458
MI 3W:19999
MI 2S:18368
GT-I9300(Galaxy S3):18068
MI 2013023:17684
SM-G7106:16368
iPhone 5C:15746
105/1050:15015
GT-I9500(Galaxy S4):14852
GT-I8552(Galaxy Win):12694
SM-N9002(Galaxy Note 3):12261
MI 2A:12049
GT-N7102:11084
101/1010:10928
1280/1282:10611
MI 4:9642
2610:9478
GT-S7572:9031
SM-N9006(Galaxy Note 3):9004
D516w:8378
SM-G3502I:8378
EMULATIONAL:8274
MI 3S:8191
5233:8054
MI 2013029:8044
GT-S7568:8006
GT-S7562(Galaxy S DUOS):7744
SM-G3812:7654
Ascend G750:7628
GT-I9152:7499
1208/1209:7469
GT-S7562I:7425
GT-I9082I:7379
GT-I9502:6938
Ascend P7:6861
iPhone 3GS:6843
H3:6518
1600:6468
GT-S5830I(Galaxy Ace):6111
GT-I9082(Galaxy Grand DUOS):6036
Honor 3C:6010
MI 2014021:5981
5230:5976
ETS3125:5857
Honor 3C(CU):5851
GT-E1200M:5817
GT-S7562C(Galaxy S DUOS):5400
Redmi Note:5328
GT-I9100(Galaxy S2):5306
A308T:5189
SM-N900(Galaxy Note 3):5015
GT-I8262D:5002
S39h(Xperia C):4963
Ascend G730:4937
GT-S7568I:4841
D816w:4772
GT-I9300C:4601
1616:4592
Ascend Mate7:4560
SM-G9006V(GALAXY S5):4532
H3X:4497
206/2060:4482
MI 2S/MI 3/Redmi:4452
A298t:4428
Redmi X:4424
6300:4393
MI-ONE Plus:4381
GT-S5830(Galaxy Ace):4356
E63:4296
MI 3T:4289
2220 Slide:4267
A300t:4195
C1-02:4189
107:4185
A850:4179
1202/1203:4163
GT-I9220:4013
100/1000:4001
M351(MX3):3954
SM-G3502:3924
GT-I9152P:3887
3208 Classic:3886
GT-I8268:3875
A288t:3780
Coolpad 8076:3714
Coolpad 8297:3708
MA169:3704
GT-I9100G:3677
GT-I9118:3676
1200:3654
GT-S5230C:3589
A318t:3583
MX2:3577
SM-N9009(Galaxy Note 3):3572
MX4(M460):3548
G610-U00:3496
E71:3466
Incredible S(G11)(S710e):3451
H60-L02:3430
A65:3306
T328w:3304
5000:3293
U5500:3262
SCH-N719:3260
A208t:3257
GT-S3850(Corby II):3240
GT-I9300I:3144
Redmi 3:3126
One SU(T528w):3120
A388t:3096
GT-S6818:3045
R815W/X909/X917W/R821W/R820:3034
SM-N9005(Galaxy Note 3):3029
GT-S7898:3022
1800:2975
iPhone 6 (A1549):2974
GT-S6352:2971
G610S/Ascend G610:2919
Coolpad 7295+:2901
R821T:2891
SM-A5000:2872
SM-G3502U:2865
LT18i:2852
Desire(G7)(A8181)(PB99200):2847
G620S-UL00:2831
S720:2828
GT-N7000:2806
2700 Classic:2802
SM-N9100:2796
